                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                 1.4769,                 2.0808,                 1.7655,                0.79013,                0.68219,                0.74728,                0.44618,                 1.6366,                 2.1378,                 1.9627,              0.0081709,              0.0081709,              0.0081709
                    101,                 1.4858,                 2.0748,                 1.7565,                0.72924,                0.70322,                 0.7429,                0.43183,                  1.689,                 2.1387,                 1.9929,              0.0081363,              0.0081363,              0.0081363
                    102,                 1.5006,                 2.0527,                 1.7705,                0.78699,                0.67982,                0.74323,                0.44211,                 1.6943,                 2.1599,                 2.0185,              0.0081014,              0.0081014,              0.0081014
                    103,                  1.483,                 2.0183,                 1.7628,                0.78973,                0.69358,                0.74291,                0.44356,                 1.6702,                 2.1664,                 1.9761,              0.0080663,              0.0080663,              0.0080663
                    104,                  1.457,                 1.9903,                 1.7465,                0.76573,                0.69543,                0.74985,                0.45085,                 1.6697,                 2.0908,                 1.9651,               0.008031,               0.008031,               0.008031
                    105,                  1.503,                 2.0232,                 1.7518,                0.75598,                0.68132,                0.72427,                 0.4209,                 1.6844,                 2.2719,                 1.9955,              0.0079954,              0.0079954,              0.0079954
                    106,                 1.4613,                 1.9865,                 1.7497,                0.79847,                0.66262,                0.75603,                0.45038,                 1.6377,                 2.0894,                 1.9446,              0.0079595,              0.0079595,              0.0079595
                    107,                 1.4507,                  1.954,                  1.722,                0.78249,                0.67721,                0.75217,                0.45571,                 1.6446,                 2.0742,                 1.9597,              0.0079235,              0.0079235,              0.0079235
                    108,                 1.4447,                 1.9084,                 1.7303,                0.80995,                0.68257,                0.76136,                0.45489,                 1.6785,                 2.0968,                 1.9956,              0.0078872,              0.0078872,              0.0078872
                    109,                 1.4638,                 1.9663,                 1.7301,                0.78748,                0.68323,                0.74331,                0.44835,                 1.6442,                 2.1633,                 1.9543,              0.0078507,              0.0078507,              0.0078507
                    110,                 1.4547,                 1.9699,                 1.7428,                0.75228,                0.68788,                0.74246,                0.44922,                 1.6532,                 2.1909,                 1.9747,              0.0078139,              0.0078139,              0.0078139
                    111,                 1.4562,                 1.9681,                 1.7509,                0.76307,                0.69419,                0.75623,                0.45116,                 1.6316,                 2.0621,                 1.9542,              0.0077769,              0.0077769,              0.0077769
                    112,                 1.4518,                 1.9169,                 1.7175,                0.81018,                0.67743,                0.75723,                0.45492,                 1.6289,                 2.0457,                 1.9416,              0.0077397,              0.0077397,              0.0077397
                    113,                  1.471,                 1.9657,                 1.7561,                 0.7774,                0.71794,                0.77377,                0.46517,                 1.6201,                 2.0468,                  1.941,              0.0077023,              0.0077023,              0.0077023
                    114,                 1.4325,                  1.884,                 1.7131,                0.80292,                0.70648,                0.76095,                0.45417,                 1.6571,                 2.0688,                 1.9678,              0.0076647,              0.0076647,              0.0076647
                    115,                 1.4357,                 1.9053,                 1.7258,                0.82631,                0.69459,                0.76686,                0.45612,                 1.6387,                 2.0337,                 1.9549,              0.0076269,              0.0076269,              0.0076269
                    116,                 1.4258,                  1.911,                 1.7175,                0.81796,                0.69761,                0.77538,                0.46542,                 1.6303,                 2.0136,                 1.9605,              0.0075889,              0.0075889,              0.0075889
                    117,                 1.4344,                 1.8993,                 1.7229,                0.73667,                 0.7208,                0.75539,                0.45126,                 1.6378,                  2.086,                 1.9487,              0.0075506,              0.0075506,              0.0075506
                    118,                 1.4434,                 1.9241,                 1.7403,                0.79988,                0.69409,                0.75575,                0.45898,                 1.6134,                 2.0869,                 1.9389,              0.0075122,              0.0075122,              0.0075122
                    119,                 1.4296,                 1.9031,                 1.7183,                0.77893,                0.69373,                0.75619,                0.45469,                 1.6377,                 2.0802,                 1.9479,              0.0074735,              0.0074735,              0.0074735
